intercept,job_finance,job_marketing,job_product_design,job_software_engineering,rel_17:15,rel_17:30,rel_17:45,fat_overwhelmed,fat_refreshed,fat_tired,sunny,job_finance_x_fat_overwhelmed,job_finance_x_fat_refreshed,job_finance_x_fat_tired,job_marketing_x_fat_overwhelmed,job_marketing_x_fat_refreshed,job_marketing_x_fat_tired,job_product_design_x_fat_overwhelmed,job_product_design_x_fat_refreshed,job_product_design_x_fat_tired,job_software_engineering_x_fat_overwhelmed,job_software_engineering_x_fat_refreshed,job_software_engineering_x_fat_tired,job_finance_x_sunny,job_marketing_x_sunny,job_product_design_x_sunny,job_software_engineering_x_sunny,job_finance_x_rel_17:15,job_finance_x_rel_17:30,job_finance_x_rel_17:45,job_marketing_x_rel_17:15,job_marketing_x_rel_17:30,job_marketing_x_rel_17:45,job_product_design_x_rel_17:15,job_product_design_x_rel_17:30,job_product_design_x_rel_17:45,job_software_engineering_x_rel_17:15,job_software_engineering_x_rel_17:30,job_software_engineering_x_rel_17:45,D_x_slope_intercept,D_x_slope_job_finance,D_x_slope_job_marketing,D_x_slope_job_product_design,D_x_slope_job_software_engineering,D_x_slope_rel_17:15,D_x_slope_rel_17:30,D_x_slope_rel_17:45,D_x_slope_fat_overwhelmed,D_x_slope_fat_refreshed,D_x_slope_fat_tired,D_x_slope_sunny,obs_id
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95,0.0,0.0,0.0,0.0,0.0,0.0,15.95,15.95,0.0,0.0,15.95,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,14.03,14.03,0.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.75,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-16.75,-16.75,-0.0,-0.0,-0.0,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63,0.0,0.0,0.0,0.0,11.63,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59,0.0,0.0,0.0,0.0,0.0,21.59,0.0,0.0,21.59,0.0,0.0,4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0.0,7.39,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.79,-0.0,-0.0,-0.0,-0.0,-5.79,-0.0,-0.0,-0.0,-0.0,-5.79,-5.79,6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.69,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-55.69,-0.0,-0.0,7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.54,0.0,0.0,0.0,0.0,0.0,0.0,37.54,0.0,0.0,37.54,0.0,8
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.34,-0.0,-0.0,-0.0,-20.34,9
